DBMS_urnform,card_title,card_title_href,card_img_href,card_text,Description,Data Model,Query Interface,System Architecture,Website URL,Website,Source Code,Documentation,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Programming Language,Written in,Supported Languages,Supported languages,Embeds / Uses,Licenses,Operating Systems,Blog URL,Twitter,Wikipedia URL,Wikipedia,Coding Agent,Tags,Crawl Error,Compression,Storage Architecture,Storage Model,Checkpoints,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Stored Procedures,Views,Derived From,Embedded,Storage Organization,Inspired By,Parallel Execution,Storage Format,Acquired By,Compatible With,Former Name,Governance,Hosted Systems,Data_Model_mapping,has_github_repo,github_repo_link,org_name,repo_name,open_source_license
3store,3store,https://dbdb.io/db/3store,https://dbdb.io/media/logos/3store.png.40x40_q85.png,,"3store is an RDF ""triple store"", written in C and backed by MySQL and Berkeley DB. It is an optimization and port of an older triple store (WebKBC). It provides access to the RDF data via RDQL or SPARQL over HTTP, on the command line or via a C API.",Triplestore / RDF,SPARQL,Shared-Everything,http://threestore.sourceforge.net,http://threestore.sourceforge.net,https://sourceforge.net/projects/threestore,http://threestore.sourceforge.net/documentation.php,http://threestore.sourceforge.net/documentation.php,Southampton University,GB,2003,2006,"Academic,Open Source",C,C,C,C,"Berkeley DB,MySQL",GPL v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDF,,,,,Y
4store,4store,https://dbdb.io/db/4store,https://dbdb.io/media/logos/4store.png.40x40_q85.png,,4store is an open-source RDF triple store designed for storing and querying RDF data using SPARQL. It utilizes a columnar storage architecture and B-tree indexes to support distributed cluster deployments for managing large datasets.,Triplestore / RDF,SPARQL,Shared-Nothing,http://www.4store.org,http://www.4store.org,https://github.com/4store/4store,http://4store.org/trac/wiki/Documentation,http://4store.org/trac/wiki/Documentation,,GB,2009,2024,Open Source,C,C,,,,GPL v3,Linux,,,,,,,,,,Decomposition Storage Model (Columnar),,,,B+Tree,,,,,,,,,,,,,,,,,,,RDF,Y,4store/4store,4store,4store,Y
abhot,abhot,https://dbdb.io/db/abhot,,,"abhot (""A Brief History Of Time"") is a time-series database management system. It is a fork of KairosDB.",Relational,HTTP / REST,,https://github.com/quqiangsheng/abhot,https://github.com/quqiangsheng/abhot,https://github.com/quqiangsheng/abhot,,,,CN,2017,2017,"Academic,Open Source",Java,Java,,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,KairosDB,,,,,,,,,,,Relational,Y,quqiangsheng/abhot,quqiangsheng,abhot,Y
accumulo,Accumulo,https://dbdb.io/db/accumulo,https://dbdb.io/media/logos/accumulo.svg,,"Apache Accumulo is a sorted, distributed key-value store based on Google's Bigtable, HDFS and Apache Zookeeper. First designed and developed by a team in NSA, Accumulo's mission is to support big data storing and processing, but at the same time enforce fine-grained data access control. In particular, the team in NSA extends Bigtable in a way that Accumulo can control the access of individual data elements. Accumulo is currently an open source project under Apache v2 license.",Column Family / Wide-Column,"Custom API,Command-line / Shell",Shared-Disk,https://accumulo.apache.org/,https://accumulo.apache.org/,https://github.com/apache/accumulo,https://accumulo.apache.org/docs/2.x/,https://accumulo.apache.org/docs/2.x/,National Security Agency,US,2008,,Open Source,Java,Java,,,,Apache v2,,,@ApacheAccumulo,https://en.wikipedia.org/wiki/Apache_Accumulo,https://en.wikipedia.org/wiki/Apache_Accumulo,,,,Prefix Compression,Disk-oriented,N-ary Storage Model (Row/Record),,Multi-version Concurrency Control (MVCC),,,,,,,,Not Supported,Not Supported,,,,Cloud BigTable,,,,,,Apache Software Foundation,,Wide column,Y,apache/accumulo,apache,accumulo,Y
acebase,AceBase,https://dbdb.io/db/acebase,https://dbdb.io/media/logos/acebase.png.40x40_q85.png,,"AceBase is a document-oriented DBMS that supports pub/sub real-time notifications. It is designed for JavaScript environments (browsers, node.js).",Document / XML,Custom API,"Shared-Everything,Embedded",https://acebase.io,https://acebase.io,https://github.com/appy-one/acebase,https://github.com/appy-one/acebase/tree/master/docs,https://github.com/appy-one/acebase/tree/master/docs,Ewout Stortenbeker,NL,2018,,"Hobby,Open Source",TypeScript,TypeScript,TypeScript,TypeScript,,MIT License,Linux,,@AcebaseRealtime,,,,,,,,N-ary Storage Model (Row/Record),,,,Inverted Index (Full Text),,,,,,,,,,,,,,,,,,,Document,Y,appy-one/acebase,appy-one,acebase,Y
acedb,AceDB,https://dbdb.io/db/acedb,https://dbdb.io/media/logos/acedb.png.40x40_q85.png,,"AceDB (""a C. elegans database"") is a biological database for handling genomic data. It was developed by Richard M. Durbin and Jean Thierry-Mieg in 1989.",,,,http://www.acedb.org,http://www.acedb.org,https://github.com/richarddurbin/acedb,,,,GB,1989,2018,"Academic,Open Source",C,C,,,,"GPL v2,LGPL v2",,,,https://en.wikipedia.org/wiki/AceDB,https://en.wikipedia.org/wiki/AceDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,richarddurbin/acedb,richarddurbin,acedb,Y
actordb,ActorDB,https://dbdb.io/db/actordb,https://dbdb.io/media/logos/actordb.png.40x40_q85.png,,"ActorDB is a distributed relational SQL database, which is strongly consistent, massively concurrent, and horizontally scalable. It supports no single point of failure and uses no global read or write locks. To achieve the features provided, ActorDB uses Raft distributed consensus algorithm on top of an existing stable SQL database engine. ActorDB splits the dataset into small independent chunks, which is inspired by the ""Actor Model"". The database is designed for microservices, saas solutions, and (mobile) app backends.",Relational,"Custom API,SQL",Shared-Nothing,https://www.actordb.com,https://www.actordb.com,https://github.com/biokoda/actordb,https://www.actordb.com/docs-about.html,https://www.actordb.com/docs-about.html,Biokoda Limited,SI,2014,2022,"Commercial,Open Source",Erlang,Erlang,Erlang,Erlang,"LMDB,SQLite",Mozilla Public License,"Linux,macOS,Windows",,,,,,,,Naïve (Page-Level),In-Memory,Custom,Not Supported,"Multi-version Concurrency Control (MVCC),Not Supported",Supported,B+Tree,Serializable,Nested Loop Join,Physical Logging,,Tuple-at-a-Time Model,,Not Supported,,,Copy-on-Write / Shadow Paging,,,,,MySQL,,,,Relational,Y,biokoda/actordb,biokoda,actordb,Y
aerospike,Aerospike,https://dbdb.io/db/aerospike,https://dbdb.io/media/logos/aerospike2025.svg,,Aerospike is a distributed key-value DBMS. It is mainly targeted at OLTP workloads with large number of transactions. It is developed by a company of the same name.,"Key-Value,Document / XML,Vector",Custom API,Shared-Nothing,https://aerospike.com/,https://aerospike.com/,https://github.com/aerospike/aerospike-server,https://aerospike.com/docs,https://aerospike.com/docs,"Aerospike, Inc.",US,2009,,"Commercial,Open Source",C,C,"C,C#,C++,Go,PHP,Python,Ruby,Rust","C,C#,C++,Go,PHP,Python,Ruby,Rust",,AGPL v3,Linux,https://aerospike.com/blog,@aerospikedb,https://en.wikipedia.org/wiki/Aerospike_database,https://en.wikipedia.org/wiki/Aerospike_database,Copilot,,,"Aerospike supports LZ4, Snappy, and ZStandard compression. Compression is invoked when data is written to disk or SSD. Compression is only used to reduce size of data when kept on persistent storage. In-memory data is not compressed.",Hybrid,N-ary Storage Model (Row/Record),Non-Blocking,Not Supported,Not Supported,"B+Tree,Hash Table,Red-Black Tree",Serializable,Not Supported,Not Supported,,Tuple-at-a-Time Model,Supported,Not Supported,,,Copy-on-Write / Shadow Paging,,Inter-Operator (Vertical),,,,Citrusleaf,,,"Key-value,Document,Vector",Y,aerospike/aerospike-server,aerospike,aerospike-server,Y
agatedb,AgateDB,https://dbdb.io/db/agatedb,,,"AgateDB is an embeddable, persistent key-value DBMS written in Rust. It is built by Pingcap as a replacement for TiKV .",Key-Value,Custom API,Embedded,https://github.com/tikv/agatedb,https://github.com/tikv/agatedb,https://github.com/tikv/agatedb,,,PingCAP,CN,2019,2024,"Industrial Research,Open Source",Rust,Rust,Rust,Rust,,Apache v2,,,@PingCAP,,,,,,,,,,,,Skip List,,,,,,,,,,,,,,,,,,,Key-value,Y,tikv/agatedb,tikv,agatedb,Y
agedb,AGEDB,https://dbdb.io/db/agedb,https://dbdb.io/media/logos/agedb.svg,,AGEDB is the commercial version of PostgreSQL using the Apache AGE graph API extension.,Graph,"SQL,Cypher",,https://www.agedb.io/,https://www.agedb.io/,https://github.com/apache/age,https://age.apache.org/age-manual/master/,https://age.apache.org/age-manual/master/,AGEDB Technology Ltd.,CA,2019,,"Commercial,Open Source",C,C,,,PostgreSQL,Apache v2,,,@apache_age,,,"Claude,Copilot,Cursor",,,,,,,,,,,,,,,,,AgensGraph,,,,,,,,,Apache Software Foundation,,Graph,Y,apache/age,apache,age,Y
agensgraph,AgensGraph,https://dbdb.io/db/agensgraph,https://dbdb.io/media/logos/agensgraph2023.png.40x40_q85.png,,"AgensGraph is a multi-model database based on PostgreSQL RDBMS, and supports both relational and graph data models. AgensGraph enables developers to integrate the legacy relational data model and the flexible graph data model in one database. AgensGraph supports Ansi-SQL and Open Cypher. SQL queries and Cypher queries can be integrated into a single query in AgensGraph. AgensGraph provides database features essential to the enterprise database environment including ACID transactions, multi-version concurrency control, stored procedure, triggers, constraints, sophisticated monitoring and a flexible data model (JSON). AgensGraph is designed to offer all the features provided by PostgreSQL and process graph queries using Cypher, a graph query language. Internally, they are largely divided into the PostgreSQL processor and the Graph processor, both of which jointly use cache and transaction areas. Users may take advantage of better performance and more convenient implementation by simultaneously performing SQL and Cypher queries on a single query.","Relational,Key-Value,Document / XML,Graph","SQL,Cypher",Shared-Everything,https://www.skaiworldwide.com/resource,https://www.skaiworldwide.com/resource,https://github.com/skaiworldwide-oss/agensgraph,http://bitnine.net/documentation,http://bitnine.net/documentation,Bitnine Global Inc.,US,2013,,"Commercial,Open Source",C,C,,,,Apache v2,"Linux,macOS,Windows",,@AgensGraph,,,,,,,Disk-oriented,N-ary Storage Model (Row/Record),Consistent,Multi-version Concurrency Control (MVCC),,"B+Tree,Hash Table","Read Uncommitted,Read Committed,Serializable,Repeatable Read","Nested Loop Join,Hash Join,Sort-Merge Join",,,Tuple-at-a-Time Model,Supported,Materialized Views,PostgreSQL,,,,,,Directors Company,,,,,"Relational,Key-value,Document,Graph",Y,skaiworldwide-oss/agensgraph,skaiworldwide-oss,agensgraph,Y
aiondb,AionDB,https://dbdb.io/db/aiondb,https://dbdb.io/media/logos/aiondb.png.40x40_q85.png,,"AionDB is a multimodal database engine written in Rust that integrates relational, graph, and vector data models into a single system. It implements the PostgreSQL wire protocol to support standard SQL clients, ORMs, and migration tools. The DBMS stores records on disk using a custom storage layer and provides unified access paths for vector similarity search and graph traversal alongside traditional relational queries.","Relational,Graph,Vector","SQL,Cypher",Shared-Everything,https://aiondb.xyz,https://aiondb.xyz,https://github.com/ayoubnabil/aiondb,https://aiondb.xyz/documentation/,https://aiondb.xyz/documentation/,Ayoub Nabil Boubagrat,,2026,,"Hobby,Open Source",Rust,Rust,,,,Business Source License,,https://aiondb.xyz/blog/,,,,,,,,Disk-oriented,,,,,Hierarchical Navigable Small World (HNSW),,,,,,,,,,,,,,,PostgreSQL,,,,"Relational,Graph,Vector",Y,ayoubnabil/aiondb,ayoubnabil,aiondb,Y
akdb,AKDB,https://dbdb.io/db/akdb,https://dbdb.io/media/logos/akdb.svg,,"AKDB (""Avtomat Kalasnikova Database"") is an educational relational DBMS developed at the University of Zagreb.",Relational,SQL,Shared-Everything,https://ailab-foi.github.io/akdb/,https://ailab-foi.github.io/akdb/,https://github.com/minovakovi/akdb,,,University of Zagreb,HR,2009,2025,"Academic,Educational,Open Source",C,C,,,,,"Linux,macOS,Windows",,,,,,,,,Disk-oriented,N-ary Storage Model (Row/Record),,,,,,,,,,,,,,,,,,,,Kalashnikov-DB,,,Relational,Y,minovakovi/akdb,minovakovi,akdb,Y
akumuli,Akumuli,https://dbdb.io/db/akumuli,https://dbdb.io/media/logos/akumuli.png.40x40_q85.png,,Akumuli is a time-series DBMS.,Relational,Custom API,,https://akumuli.org/,https://akumuli.org/,https://github.com/akumuli/Akumuli,https://docs.akumuli.org,https://docs.akumuli.org,,RU,2013,2020,Open Source,C++,C++,,,,Apache v2,,https://akumuli.org/blog/,,,,,,,,,Decomposition Storage Model (Columnar),,,,B+Tree,,,,,,,,,,,,,,,,,,,Relational,Y,akumuli/Akumuli,akumuli,Akumuli,Y
akutan,Akutan,https://dbdb.io/db/akutan,https://dbdb.io/media/logos/beam.jpg.40x40_q85.jpg,,Akutan is a distributed knowledge graph DBMS written in Go.,Triplestore / RDF,Custom API,Shared-Nothing,https://github.com/eBay/akutan,https://github.com/eBay/akutan,https://github.com/eBay/akutan,,,eBay Inc.,US,2019,2019,"Industrial Research,Open Source",Go,Go,,,RocksDB,Apache v2,,,,,,,,,,Disk-oriented,,,,,,,,,,Tuple-at-a-Time Model,,,,,Log-structured,,,,,,Beam,,,RDF,Y,eBay/akutan,eBay,akutan,Y
alasql,AlaSQL,https://dbdb.io/db/alasql,https://dbdb.io/media/logos/alasql.png.40x40_q85.png,,AlaSQL is a relational DBMS designed to run in web browsers and JavaScript-based application servers (Node.js). It supports both relational tables and document-oriented collections (JSON).,"Relational,Document / XML",SQL,,http://alasql.org,http://alasql.org,https://github.com/AlaSQL/alasql,https://github.com/agershun/alasql/wiki,https://github.com/agershun/alasql/wiki,Andrey Gershun,RU,2014,,Open Source,JavaScript,JavaScript,JavaScript,JavaScript,,MIT License,,,,,,Copilot,,,,In-Memory,,Not Supported,Not Supported,Supported,Hash Table,,Hash Join,Not Supported,,,,,,,,,,,,,,,,"Relational,Document",Y,AlaSQL/alasql,AlaSQL,alasql,Y
alchemydb,AlchemyDB,https://dbdb.io/db/alchemydb,,,AlchemyDB is a NewSQL RDBMS built on top Redis .,Relational,SQL,Shared-Everything,https://code.google.com/archive/p/alchemydatabase,https://code.google.com/archive/p/alchemydatabase,https://github.com/JakSprats/Alchemy-Database,https://code.google.com/archive/p/alchemydatabase/wikis,https://code.google.com/archive/p/alchemydatabase/wikis,Russell Sullivan,US,2010,2012,"Commercial,Open Source",C,C,,,,AGPL v3,,,,,,,,,,,,,,,,,,,,,,,Redis,,,,,,"Aerospike, Inc.",Neo4j,Redisql,,,Relational,Y,JakSprats/Alchemy-Database,JakSprats,Alchemy-Database,Y
alenka,Alenka,https://dbdb.io/db/alenka,https://dbdb.io/media/logos/alenka_UFGMXu1.png.40x40_q85.png,,Alenka is a GPU-based query execution engine.,Relational,SQL,,https://github.com/antonmks/Alenka,https://github.com/antonmks/Alenka,,,,,US,2012,2017,Open Source,C,C,,,,Apache v2,,,,,,,,,,,Decomposition Storage Model (Columnar),,,,,,,,,Vectorized Model,,,,,,,,,,,,,,Relational,Y,antonmks/Alenka,antonmks,Alenka,Y
allocdb,AllocDB,https://dbdb.io/db/allocdb,https://dbdb.io/media/logos/allocdb.svg,,"AllocDB is a deterministic, specialized database designed for resource allocation workloads, targeting scenarios requiring strict 'one resource, one winner' semantics under high contention. It aims to prevent race conditions and double allocations common in general-purpose databases and key-value stores.",Relational,Custom API,,https://skel84.github.io/allocdb/,https://skel84.github.io/allocdb/,https://github.com/skel84/allocdb,https://skel84.github.io/allocdb/docs/,https://skel84.github.io/allocdb/docs/,Francesco Cislaghi,DE,2026,,"Hobby,Open Source",Rust,Rust,,,,,Linux,https://skel84.github.io/allocdb/blog/,,,,,,,,,,,Deterministic Concurrency Control,,,,,Logical Logging,,,,,,,,,,,,,,,,Relational,Y,skel84/allocdb,skel84,allocdb,Y
altinity,Altinity,https://dbdb.io/db/altinity,https://dbdb.io/media/logos/altinity.svg,,Altinity is a managed ClickHouse database-as-a-service.,,,,https://altinity.com,https://altinity.com,https://github.com/Altinity/ClickHouse,https://docs.altinity.com,https://docs.altinity.com,"Altinity, Inc.",US,2017,,"Commercial,Open Source",,,,,,Proprietary,,https://altinity.com/blog/,@AltinityDB,,,"Claude,Codex,Copilot,Cursor,Gemini",,,,,,,,,,,,,,,,,ClickHouse,,,,,,,,,,ClickHouse Relational,,Y,Altinity/ClickHouse,Altinity,ClickHouse,Y
amelie,Amelie,https://dbdb.io/db/amelie,https://dbdb.io/media/logos/amelie.svg,,Amelie is an in-memory relational DBMS designed for OLTP workloads.,Relational,SQL,Shared-Everything,https://amelielabs.io,https://amelielabs.io,https://github.com/amelielabs/amelie,https://amelielabs.io/docs,https://amelielabs.io/docs,Dmitry Simonenko,CY,2023,,"Hobby,Open Source",C,C,,,,AGPL v3,Linux,,,,,,,,,In-Memory,N-ary Storage Model (Row/Record),,,,,,,Physiological Logging,,Tuple-at-a-Time Model,,,,,Heaps,,,Custom,,,,,,Relational,Y,amelielabs/amelie,amelielabs,amelie,Y
angstromdb,AngstromDB,https://dbdb.io/db/angstromdb,,,AngstromDB is a NoSQL key-value DBMS based on LMDB .,Key-Value,,,https://github.com/Amaury/AngstromDB,https://github.com/Amaury/AngstromDB,https://github.com/Amaury/AngstromDB,,,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",C,C,,,,Apache v2,Linux,,,,,,,,,,,,,,,,,,,,,,LMDB,,,,,,,,,,,Key-value,Y,Amaury/AngstromDB,Amaury,AngstromDB,Y
annadb,AnnaDB,https://dbdb.io/db/annadb,https://dbdb.io/media/logos/annadb.svg,,AnnaDB is an in-memory document-oriented NoSQL DBMS that stores data in proprietary Typed Simple Object Notation (TySON) format.,Document / XML,Custom API,Shared-Everything,https://annadb.dev,https://annadb.dev,https://github.com/Anna-Team/AnnaDB,https://annadb.dev/documentation/introduction,https://annadb.dev/documentation/introduction,Roman Right,DE,2021,2023,"Hobby,Open Source",Rust,Rust,Python,Python,,Apache v2,Linux,,,,,,,,,In-Memory,N-ary Storage Model (Row/Record),,,,,,,,,,,,,,,,,,,,,,,Document,Y,Anna-Team/AnnaDB,Anna-Team,AnnaDB,Y
anndb,AnnDB,https://dbdb.io/db/anndb,https://dbdb.io/media/logos/anndb.svg,,AnnDB is a distributed vector DBMS that supports approximate nearest neighbor queries.,Vector,HTTP / REST,Shared-Nothing,https://anndb.com,https://anndb.com,https://github.com/marekgalovic/anndb,https://docs.anndb.com,https://docs.anndb.com,Marek Galovic,CZ,2020,,"Commercial,Open Source",Go,Go,,,,Apache v2,,,,,,,,,,,,,,,Hierarchical Navigable Small World (HNSW),,,,,,,,,,,,,,,,,,,Vector,Y,marekgalovic/anndb,marekgalovic,anndb,Y
antfly,Antfly,https://dbdb.io/db/antfly,https://dbdb.io/media/logos/antfly.svg,,"Antfly is a distributed search engine designed for agentic workloads and retrieval-augmented generation. It combines full-text search, vector similarity, and graph traversal over multimodal data including text, images, audio, and video. The system supports hybrid search, automatic embedding and chunking, and provides built-in RAG agents with tool calling capabilities. The system utilizes etcd's Raft library for consensus and supports both local swarm mode and managed cloud deployments.","Graph,Vector",HTTP / REST,Shared-Nothing,https://antfly.io,https://antfly.io,https://github.com/antflydb/antfly,https://antfly.io/docs,https://antfly.io/docs,"Antfly, Inc.",US,2026,,"Commercial,Open Source",Zig,Zig,,,etcd,,Linux,,,,,,,,,,,,,,Inverted Index (Full Text),,,,,,,,,,,,,,,,,,,"Graph,Vector",Y,antflydb/antfly,antflydb,antfly,Y
antidote,Antidote,https://dbdb.io/db/antidote,https://dbdb.io/media/logos/antidotedb.png.40x40_q85.png,,AntidoteDB is a geo-replicated key-value DBMS that uses CRDTs to synchronize changes between nodes.,Key-Value,SQL,,https://www.antidotedb.eu,https://www.antidotedb.eu,https://github.com/AntidoteDB/antidote,https://antidotedb.gitbook.io/documentation,https://antidotedb.gitbook.io/documentation,SyncFree European Project,FR,2015,,"Academic,Open Source",Erlang,Erlang,,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Key-value,Y,AntidoteDB/antidote,AntidoteDB,antidote,Y
anudb,AnuDB,https://dbdb.io/db/anudb,,,AnuDB is a serverless document-oriented DBMS for C++ applications.,Document / XML,Custom API,Shared-Everything,https://github.com/hash-anu/AnuDB,https://github.com/hash-anu/AnuDB,https://github.com/hash-anu/AnuDB,,,Hash Anu,IN,2025,2025,"Hobby,Open Source",C++,C++,C++,C++,RocksDB,MIT License,Linux,,,,,,,,,Disk-oriented,N-ary Storage Model (Row/Record),,,,,,,,,,,,,,,,,,,,,,,Document,Y,hash-anu/AnuDB,hash-anu,AnuDB,Y
aodbm,AODBM,https://dbdb.io/db/aodbm,,,"AODBM (""append only database manager"") is designed in the style of dbm.",,,,https://github.com/DanielWaterworth/AODBM,https://github.com/DanielWaterworth/AODBM,https://github.com/DanielWaterworth/AODBM,,,Daniel Waterworth,GB,2011,2011,Open Source,C,C,,,,LGPL v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,DanielWaterworth/AODBM,DanielWaterworth,AODBM,Y
arakoon,Arakoon,https://dbdb.io/db/arakoon,https://dbdb.io/media/logos/arakoon.png.40x40_q85.png,,Arakoon was a distributed key-value store with strong consistency guarantees.,Key-Value,Custom API,Shared-Nothing,http://arakoon.org,http://arakoon.org,https://github.com/Incubaid/arakoon,http://arakoon.org/documentation/index.html,http://arakoon.org/documentation/index.html,Incubaid LLC,BE,2010,2015,Open Source,Ocaml,Ocaml,,,Tokyo Cabinet,Apache v2,,,,,,,,,,Disk-oriented,,,,,Not Supported,,,,,,,,,,,,,,,,,,,Key-value,Y,Incubaid/arakoon,Incubaid,arakoon,Y
arangodb,ArangoDB,https://dbdb.io/db/arangodb,https://dbdb.io/media/logos/arangodb.svg,,"ArangoDB is a multi-model mostly-memory database. It supports key-value, documents, and graphs stores with JSON data format. ArangoDB stores all data in persistent storage to provide durability. However, to efficiently use ArangoDB, the frequently accessed pages, or equivalently called the working set, should be able to fit into the main memory. At the same time, unlike most NoSQL databases, ArangoDB supports join operation and allows users to specify either multi-collections transactions for ACID properties or standard single-document transactions for performance boosting.","Key-Value,Document / XML,Graph","Custom API,HTTP / REST,Command-line / Shell",Shared-Nothing,https://arango.ai,https://arango.ai,https://github.com/arangodb/arangodb,https://arango.ai,https://arango.ai,ArangoDB,DE,2011,,"Commercial,Open Source",C++,C++,"C#,Java,JavaScript,PHP,Python,Ruby","C#,Java,JavaScript,PHP,Python,Ruby",,Apache v2,"Linux,macOS,Solaris,Windows",,@arangodb,https://en.wikipedia.org/wiki/ArangoDB,https://en.wikipedia.org/wiki/ArangoDB,"Claude,Copilot",,,Naïve (Page-Level),In-Memory,Custom,Non-Blocking,Two-Phase Locking (Deadlock Detection),Not Supported,"Skip List,Hash Table,Inverted Index (Full Text)",Serializable,Nested Loop Join,Logical Logging,,Materialized Model,Supported,Materialized Views,,,Log-structured,,,,,,AvocadoDB,,,"Key-value,Document,Graph",Y,arangodb/arangodb,arangodb,arangodb,Y
arcadedb,ArcadeDB,https://dbdb.io/db/arcadedb,https://dbdb.io/media/logos/arcadedb.png.40x40_q85.png,,ArcadeDB is a multi-model DBMS created as a fork from OrientDB.,"Key-Value,Document / XML,Graph,Object-Oriented","SQL,Stored Procedures,GraphQL,Gremlin,HTTP / REST",Shared-Nothing,https://arcadedb.com,https://arcadedb.com,https://github.com/ArcadeData/arcadedb,https://docs.arcadedb.com,https://docs.arcadedb.com,Arcade Data,GB,2021,,"Commercial,Open Source",Java,Java,,,,Apache v2,All OS with Java VM,http://arcadedb.com/blog/,@arcade_db,,,"Claude,Copilot,Gemini",,,Naïve (Record-Level),Hybrid,N-ary Storage Model (Row/Record),Consistent,Multi-version Concurrency Control (MVCC),,"B+Tree,Hash Table,Inverted Index (Full Text)","Read Committed,Repeatable Read",Not Supported,Physical Logging,JIT Compilation,"Tuple-at-a-Time Model,Vectorized Model",Supported,Materialized Views,OrientDB,,Heaps,,,,,"MongoDB,PostgreSQL,Redis",,,,"Key-value,Document,Graph,Object oriented",Y,ArcadeData/arcadedb,ArcadeData,arcadedb,Y
arcticdb,ArcticDB,https://dbdb.io/db/arcticdb,https://dbdb.io/media/logos/arcticdb2026_8LC6WQd.svg,,"ArcticDB is an embedded, columnar datastore designed for analytical workloads on time-series data. It supports Pandas and the Python Data Science ecosystem.",Relational,Custom API,Embedded,https://arcticdb.io,https://arcticdb.io,https://github.com/man-group/ArcticDB,https://docs.arcticdb.io,https://docs.arcticdb.io,Man Group plc,GB,2018,,Open Source,C++,C++,Python,Python,,Business Source License,,https://medium.com/arcticdb,@ArcticDB,,,"Claude,Copilot",,,,,,,,,,,,,,Vectorized Model,,,,,,,,DataFrame,,,,,,Relational,Y,man-group/ArcticDB,man-group,ArcticDB,Y
ardb,Ardb,https://dbdb.io/db/ardb,,,Ardb is a Redis-compatible NoSQL DBMS that is designed to support multiple storage backends.,Key-Value,Custom API,,https://github.com/yinqiwen/ardb,https://github.com/yinqiwen/ardb,https://github.com/yinqiwen/ardb,,,Yinqi Wen,CN,2013,2019,Open Source,C++,C++,,,"ForestDB,LevelDB,LMDB,RocksDB,WiredTiger",BSD License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Redis,,,,Key-value,Y,yinqiwen/ardb,yinqiwen,ardb,Y
aresdb,AresDB,https://dbdb.io/db/aresdb,https://dbdb.io/media/logos/aresdb.png.40x40_q85.png,,"AresDB is a GPU-based real-time analytics database with low memory overhead, real-time upserts with primary key deduplication, and time series aggregations on both streaming and finite dimensional data, including geofences.",Relational,Custom API,Shared-Disk,https://eng.uber.com/aresdb,https://eng.uber.com/aresdb,https://github.com/uber/aresdb,https://github.com/uber/aresdb/wiki,https://github.com/uber/aresdb/wiki,"Uber Technologies, Inc.",US,2018,2020,Open Source,"C,C++,Go","C,C++,Go",,,,Apache v2,Linux,,,,,,,,Run-Length Encoding,Hybrid,Decomposition Storage Model (Columnar),Fuzzy,,Supported,Hash Table,Cursor Stability,Hash Join,Logical Logging,JIT Compilation,Vectorized Model,Not Supported,Not Supported,,,Sorted Files,"Elasticsearch,HeavyDB,Kinetica,Ocelot,Pinot",Intra-Operator (Horizontal),,,,,,,Relational,Y,uber/aresdb,uber,aresdb,Y
ariasql,AriaSQL,https://dbdb.io/db/ariasql,https://dbdb.io/media/logos/ariasql.png.40x40_q85.png,,"AriaSQL is a hobbyist relational database management system prototype that implements a subset of the ANSI SQL standard. It uses a B+tree indexing, write-ahead logging for crash recovery, row-level locking, foreign key constraints, stored procedures, and a command-line interface. The system also includes optional features for data encryption using ChaCha20 and storage compression using ZSTD.",Relational,"SQL,Stored Procedures,Command-line / Shell",,https://github.com/ariasql/ariasql,https://github.com/ariasql/ariasql,https://github.com/ariasql/ariasql,,,Alex Gaetano Padula,CA,2024,2024,Open Source,Go,Go,,,,AGPL v3,Linux,,,,,,,,,,,,,Supported,B+Tree,,,Physiological Logging,,,Supported,,,,,,,,,,,,,Relational,Y,ariasql/ariasql,ariasql,ariasql,Y
ark,Ark,https://dbdb.io/db/ark,https://dbdb.io/media/logos/ark.svg,,"Ark is a lightweight, self-contained relational database engine and query language interpreter written entirely in C++ with zero external dependencies. It implements a hand-written tokenizer, recursive descent parser, typed tables, full CRUD operations, multi-table joins, aggregate functions, pattern matching, and custom disk persistence using a CSV format.",Relational,SQL,,https://github.com/kashyap-devansh/Ark,https://github.com/kashyap-devansh/Ark,https://github.com/kashyap-devansh/Ark,,,Devansh Kashyap,IN,2026,,"Hobby,Open Source",C++,C++,,,,MIT License,,,,,,,,,,Disk-oriented,,,,,,,,,,Tuple-at-a-Time Model,,,,,,,,CSV,,,,,,Relational,Y,kashyap-devansh/Ark,kashyap-devansh,Ark,Y
