DBMS_urnform,card_title,card_title_href,card_img_href,card_text,Description,Data Model,Query Interface,System Architecture,Website URL,Website,Source Code,Documentation,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Programming Language,Written in,Supported Languages,Supported languages,Embeds / Uses,Licenses,Operating Systems,Blog URL,Twitter,Wikipedia URL,Wikipedia,Coding Agent,Tags,Crawl Error,Compression,Storage Architecture,Storage Model,Checkpoints,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Stored Procedures,Views,Derived From,Embedded,Storage Organization,Inspired By,Parallel Execution,Storage Format,Acquired By,Compatible With,Former Name,Governance,Hosted Systems,Data_Model_mapping,has_github_repo,github_repo_link,org_name,repo_name,open_source_license
twig,Twig,https://dbdb.io/db/twig,https://dbdb.io/media/logos/twig.png.40x40_q85.png,,Object Datastore for Google App Engine.,Object-Oriented,,,https://code.google.com/archive/p/twig-persist,https://code.google.com/archive/p/twig-persist,https://code.google.com/archive/p/twig-persist/source/default/source,,,John Patterson,US,2009,2013,Open Source,Java,Java,,,,Apache v2,Hosted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Object oriented,,,,,Y
typedb,TypeDB,https://dbdb.io/db/typedb,https://dbdb.io/media/logos/typedb.svg,,TypeDB is a strongly-typed database with a rich and logical type system. It uses a proprietary query language called TypeQL.,"Graph,Entity-Relationship",Custom API,,https://typedb.com,https://typedb.com,https://github.com/typedb/typedb,https://typedb.com/docs/home/,https://typedb.com/docs/home/,TypeDB Ltd.,GB,2016,,"Commercial,Open Source",,,"Java,JavaScript,Python","Java,JavaScript,Python",RocksDB,AGPL v3,"All OS with Java VM,Linux,macOS,Windows",https://typedb.com/blog/,@typedb_,https://en.wikipedia.org/wiki/TypeDB,https://en.wikipedia.org/wiki/TypeDB,Claude,,,,,,,,,,,,,,,,,,,,,,,,,"Mindmaps, Grakn",,,Graph,Y,typedb/typedb,typedb,typedb,Y
typhon,Typhon,https://dbdb.io/db/typhon,https://dbdb.io/media/logos/typhon.svg,,"Typhon is an embedded object-oriented DBMS designed for game servers, simulations, and stateful dataflow systems. It combines an Entity-Component-System (ECS) archetype storage model with a tick-based parallel runtime that dispatches system chunks across worker threads. The engine provides MVCC snapshot isolation, optimistic concurrency control, and configurable durability. Data is stored in a memory-mapped, paged file on disk, managed by a page cache to support databases exceeding available RAM.",Object-Oriented,Custom API,Embedded,https://www.typhondb.io/,https://www.typhondb.io/,https://github.com/Log2n-io/Typhon,https://doc.typhondb.io/,https://doc.typhondb.io/,,FR,2015,,"Commercial,Open Source",C#,C#,,,,PolyForm Small Business License,"Linux,macOS,Windows",,,,,Claude,,,,Disk-oriented,N-ary Storage Model (Row/Record),,"Multi-version Concurrency Control (MVCC),Optimistic Concurrency Control (OCC)",,B+Tree,Snapshot Isolation,,,Code Generation,,,,,,,,Intra-Operator (Horizontal),Custom,,,,,,Object oriented,Y,Log2n-io/Typhon,Log2n-io,Typhon,Y
typhoon,Typhoon,https://dbdb.io/db/typhoon,,,Typhoon is a freely available relational database management system for the UNIX and OS/2 environments.,Relational,,,http://www.belle.dk/~tbp/,http://www.belle.dk/~tbp/,https://github.com/jonahharris/osdb-typhoon,,,,DK,1996,1999,Open Source,C,C,,,,MIT License,"AIX,HP-UX,Linux,Solaris",,,,,,,,,,,,,,,,,,,,,,,,,RaimaDB,,,,,,,,Relational,Y,jonahharris/osdb-typhoon,jonahharris,osdb-typhoon,Y
unisondb,UnisonDB,https://dbdb.io/db/unisondb,https://dbdb.io/media/logos/unisondb.svg,,UnisonDB is a wide-column / key-value DBMS that supports writing via gRPC to an object store.,"Column Family / Wide-Column,Key-Value",HTTP / REST,"Shared-Everything,Shared-Disk",https://unisondb.io,https://unisondb.io,https://github.com/ankur-anand/unisondb,https://unisondb.io/docs/,https://unisondb.io/docs/,Ankur Anand,IN,2025,,"Hobby,Open Source",Go,Go,,,LMDB,Apache v2,Linux,,,,,,,,,,,,,,,,,,,,,,,,Log-structured,,,,,,,,,"Wide column,Key-value",Y,ankur-anand/unisondb,ankur-anand,unisondb,Y
unqlite,UnQLite,https://dbdb.io/db/unqlite,https://dbdb.io/media/logos/unqlite.png.40x40_q85.png,,UnQLite is an embedded NoSQL (Key/Value store and Document-store) database engine.,"Key-Value,Document / XML",,Embedded,https://unqlite.symisc.net,https://unqlite.symisc.net,https://github.com/symisc/unqlite,https://unqlite.symisc.net/c_api.html,https://unqlite.symisc.net/c_api.html,Symisc Systems,TN,,,"Commercial,Open Source",C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Key-value,Document",Y,symisc/unqlite,symisc,unqlite,Y
upscaledb,upscaledb,https://dbdb.io/db/upscaledb,https://dbdb.io/media/logos/upscaledb.svg,,upscaledb is an embedded key/value store DBMS for analytical workloads.,Key-Value,"Custom API,SQL",Embedded,https://upscaledb.com,https://upscaledb.com,https://github.com/cruppstahl/upscaledb,https://upscaledb.com/apis.html,https://upscaledb.com/apis.html,Christoph Rupp,DE,2007,2021,"Commercial,Open Source","C,C++","C,C++",,,,Apache v2,,https://upscaledb.com/blog/blog.html,@upscaledb,,,,,,,,,,,,B+Tree,,,,,,,,,,,,,,,,HamsterDB,,,Key-value,Y,cruppstahl/upscaledb,cruppstahl,upscaledb,Y
vald,Vald,https://dbdb.io/db/vald,https://dbdb.io/media/logos/vald.svg,,"Vald (""Vektor Wald"") is a distributed fast approximate nearest neighbor (ANN) dense vector search engine.",Vector,"Custom API,HTTP / REST",Shared-Disk,https://vald.vdaas.org,https://vald.vdaas.org,https://github.com/vdaas/vald,https://vald.vdaas.org/docs/,https://vald.vdaas.org/docs/,Vald Team,JP,2019,,Open Source,Go,Go,"Clojure,Go,JavaScript,Python","Clojure,Go,JavaScript,Python",,Apache v2,,https://vdaas-vald.medium.com,@vdaas_vald,,,Copilot,,,,Disk-oriented,Custom,,,,Hierarchical Navigable Small World (HNSW),,,,,,,,,,,,,,,,,,,Vector,Y,vdaas/vald,vdaas,vald,Y
valkey,Valkey,https://dbdb.io/db/valkey,https://dbdb.io/media/logos/valkey2026.svg,,Valkey is a hard-fork of Redis started in 2024.,Key-Value,Custom API,Shared-Everything,https://valkey.io,https://valkey.io,https://github.com/valkey-io/valkey,https://valkey.io/docs/,https://valkey.io/docs/,The Linux Foundation,US,2024,,Open Source,C,C,,,,BSD License,Linux,https://valkey.io/blog/,@valkey_io,https://en.wikipedia.org/wiki/Valkey,https://en.wikipedia.org/wiki/Valkey,"Copilot,Cursor",,,,In-Memory,Custom,,Multi-version Concurrency Control (MVCC),,B+Tree,Serializable,Not Supported,Shadow Paging,Not Supported,Tuple-at-a-Time Model,Not Supported,Not Supported,Redis,,,,"Intra-Operator (Horizontal),Inter-Operator (Vertical)",,,Redis,,Linux Foundation,,Key-value,Y,valkey-io/valkey,valkey-io,valkey,Y
valthree,Valthree,https://dbdb.io/db/valthree,,,"Valthree is a distributed, Valkey-compatible key-value database that persists data directly to object storage as a single JSON file. It employs optimistic concurrency control to ensure strong serializable consistency across nodes. Applications interact with the system using standard Valkey or Redis client libraries.",Key-Value,Custom API,Shared-Nothing,https://github.com/antithesishq/valthree,https://github.com/antithesishq/valthree,https://github.com/antithesishq/valthree,,,Antithesis Operations LLC,US,2025,,"Industrial Research,Open Source",Go,Go,,,,MIT License,Linux,,,,,,,,,Hybrid,Custom,,Optimistic Concurrency Control (OCC),,Hash Table,Same as Redis,Not Supported,Command Logging,Not Supported,,,,,,Heaps,,,JSON,,"Redis,Valkey",,,,Key-value,Y,antithesishq/valthree,antithesishq,valthree,Y
