Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Data_Model_mapping,has_github_repo,github_repo_link,org_name,repo_name,open_source_license
3store,3store,"3store is an RDF ""triple store"", written in C and backed by MySQL and Berkeley DB. It is an optimization and port of an older triple store (WebKBC). It provides access to the RDF data via RDQL or SPARQL over HTTP, on the command line or via a C API.",Triplestore / RDF,SPARQL,Shared-Everything,http://threestore.sourceforge.net/,https://sourceforge.net/projects/threestore/,http://threestore.sourceforge.net/documentation.php,Southampton University,GB,2003,2006,"Academic,Open Source",C,C,"Berkeley DB,MySQL",GPL v2,,RDF,,,,,Y
4store,4store,,Triplestore / RDF,SPARQL,,https://4store.danielknoell.de/,https://github.com/4store/4store,,,GB,2009,,Open Source,C,,,GPL v3,,RDF,Y,4store/4store,4store,4store,Y
abhot,abhot,"abhot (""A Brief History Of Time"") is a time-series database management system. It is a fork of KairosDB.",,,,https://github.com/quqiangsheng/abhot,https://github.com/quqiangsheng/abhot,,,CN,2017,2017,"Academic,Open Source",Java,,,Apache v2,,,Y,quqiangsheng/abhot,quqiangsheng,abhot,Y
accumulo,Accumulo,"Apache Accumulo is a sorted, distributed key-value store based on Google's Bigtable, HDFS and Apache Zookeeper. First designed and developed by a team in NSA, Accumulo's mission is to support big data storing and processing, but at the same time enforce fine-grained data access control. In particular, the team in NSA extends Bigtable in a way that Accumulo can control the access of individual data elements. Accumulo is currently an open source project under Apache v2 license.",Column Family / Wide-Column,"Custom API,Command-line / Shell",Shared-Disk,http://accumulo.apache.org/,https://github.com/apache/accumulo,https://accumulo.apache.org/docs/2.x/,US National Security Agency,US,2008,,Open Source,Java,,,Apache v2,,Wide column,Y,apache/accumulo,apache,accumulo,Y
acebase,AceBase,"AceBase is a document-oriented DBMS that supports pub/sub real-time notifications. It is designed for JavaScript environments (browsers, node.js).",Document / XML,Custom API,"Shared-Everything,Embedded",https://acebase.io,https://github.com/appy-one/acebase,https://github.com/appy-one/acebase/tree/master/docs,Ewout Stortenbeker,NL,2018,,"Hobby,Open Source",TypeScript,TypeScript,,MIT,Linux,Document,Y,appy-one/acebase,appy-one,acebase,Y
acedb,AceDB,"AceDB (""a C. elegans database"") is a biological database for handling genomic data. It was developed by Richard M. Durbin and Jean Thierry-Mieg in 1989.",,,,http://www.acedb.org/,https://github.com/richarddurbin/acedb,,"Richard M. Durbin, Jean Thierry-Mieg",GB,1989,2018,"Academic,Open Source",C,,,"GPL v2,LGPL v2",,,Y,richarddurbin/acedb,richarddurbin,acedb,Y
actordb,ActorDB,"ActorDB is a distributed relational SQL database, which is strongly consistent, massively concurrent, and horizontally scalable. It supports no single point of failure and uses no global read or write locks. To achieve the features provided, ActorDB uses Raft distributed consensus algorithm on top of an existing stable SQL database engine. ActorDB splits the dataset into small independent chunks, which is inspired by the ""Actor Model"". The database is designed for microservices, saas solutions, and (mobile) app backends.",Relational,"Custom API,SQL",Shared-Nothing,https://www.actordb.com/,https://github.com/biokoda/actordb,https://www.actordb.com/docs-about.html,Biokoda,SI,2014,2022,"Commercial,Open Source",Erlang,Erlang,"LMDB,SQLite",Mozilla Public License,"Linux,OS X,Windows",Relational,Y,biokoda/actordb,biokoda,actordb,Y
aerospike,Aerospike,Aerospike is a distributed key-value DBMS. It is mainly targeted at OLTP workloads with large number of transactions. It is developed by a company of the same name.,Key/Value,Custom API,Shared-Nothing,http://www.aerospike.com/,https://github.com/aerospike/aerospike-server,https://www.aerospike.com/docs/,"Aerospike, Inc.",US,2009,,"Commercial,Open Source",C,"C,C#,C++,Go,PHP,Python,Ruby,Rust",,AGPL v3,Linux,Key-value,Y,aerospike/aerospike-server,aerospike,aerospike-server,Y
agatedb,AgateDB,"AgateDB is an embeddable, persistent key-value DBMS written in Rust. It is built by Pingcap as a replacement for,TiKV,.",Key/Value,Custom API,Embedded,https://github.com/tikv/agatedb,https://github.com/tikv/agatedb,,PingCAP,CN,2019,,"Industrial Research,Open Source",Rust,Rust,,Apache v2,,Key-value,Y,tikv/agatedb,tikv,agatedb,Y
agedb,AGEDB,AGEDB is the commercial version of PostgreSQL using the Apache AGE graph API extension.,Graph,"SQL,Cypher",,https://agedb.io/,https://github.com/apache/age,https://age.apache.org/age-manual/master/,Apache,CA,2019,,"Commercial,Open Source",C,,PostgreSQL,Apache v2,,Graph,Y,apache/age,apache,age,Y
agensgraph,AgensGraph,"AgensGraph is a multi-model database based on PostgreSQL RDBMS, and supports both relational and graph data models. AgensGraph enables developers to integrate the legacy relational data model and the flexible graph data model in one database. AgensGraph supports Ansi-SQL and Open Cypher. SQL queries and Cypher queries can be integrated into a single query in AgensGraph. AgensGraph provides database features essential to the enterprise database environment including ACID transactions, multi-version concurrency control, stored procedure, triggers, constraints, sophisticated monitoring and a flexible data model (JSON). AgensGraph is designed to offer all the features provided by PostgreSQL and process graph queries using Cypher, a graph query language. Internally, they are largely divided into the PostgreSQL processor and the Graph processor, both of which jointly use cache and transaction areas. Users may take advantage of better performance and more convenient implementation by simultaneously performing SQL and Cypher queries on a single query.","Relational,Key/Value,Document / XML,Graph","SQL,Cypher",Shared-Everything,http://bitnine.net/agensgraph/,https://github.com/bitnine-oss/agensgraph,http://bitnine.net/documentation/,"Bitnine Co, Ltd.",US,2013,,"Commercial,Open Source",C,,,Apache v2,"Linux,OS X,Windows","Relational,Key-value,Document,Graph",Y,bitnine-oss/agensgraph,bitnine-oss,agensgraph,Y
akdb,AKDB,"AKDB (""Avtomat Kalasnikova Database"") is an educational relational DBMS developed at the University of Zagreb.",Relational,SQL,Shared-Everything,https://ailab-foi.github.io/akdb/,https://github.com/minovakovi/akdb,,University of Zagreb,HR,2009,,"Academic,Educational,Open Source",C,,,,"Linux,OS X,Windows",Relational,Y,minovakovi/akdb,minovakovi,akdb,Y
akumuli,Akumuli,Akumuli is a time-series DBMS.,,Custom API,,http://akumuli.org/,https://github.com/akumuli/Akumuli,https://docs.akumuli.org/,,RU,2013,,Open Source,C++,,,Apache v2,,,Y,akumuli/Akumuli,akumuli,Akumuli,Y
akutan,Akutan,Akutan is a distributed knowledge graph DBMS written in Go.,Triplestore / RDF,Custom API,Shared-Nothing,https://github.com/eBay/akutan,https://github.com/eBay/akutan,,eBay,US,2019,,"Industrial Research,Open Source",Go,,RocksDB,Apache v2,,RDF,Y,eBay/akutan,eBay,akutan,Y
alasql,AlaSQL,AlaSQL is a relational DBMS designed to run in web browsers and JavaScript-based application servers (Node.js). It supports both relational tables and document-oriented collections (JSON).,"Relational,Document / XML",SQL,,http://alasql.org,https://github.com/agershun/alasql,https://github.com/agershun/alasql/wiki,Andrey Gershun,RU,2014,,Open Source,JavaScript,JavaScript,,MIT,,"Relational,Document",Y,agershun/alasql,agershun,alasql,Y
