Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Twitter,Compression,Storage Architecture,Storage Model,Checkpoints,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Stored Procedures,Views,Derived From,Wikipedia,Storage Organization,Inspired By,Parallel Execution,Storage Format,Acquired By,Compatible With,Former Name
qserv,Qserv,"Qserv is distributed database service developed for the,Large Synoptic Survey Telescope,project.",Relational,,,https://dev.lsstcorp.org/trac/wiki/db/Qserv,https://github.com/lsst/qserv,,SLAC National Accelerator Laboratory,US,2011.0,,"Academic,Open Source",C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quadrable,Quadrable,Quadrable (quadb) is an embedded multi-versioned DBMS engine that uses Merkle trees.,Key/Value,"Custom API,Command-line / Shell",Embedded,https://github.com/hoytech/quadrable,https://github.com/hoytech/quadrable,,Doug Hoyte,CA,2020.0,,"Commercial,Open Source",C++,,,BSD,,,,,N-ary Storage Model (Row/Record),,,,,,,,,,,,,,Log-structured,,,,,,
questdb,QuestDB,"QuestDB is an open-source time-series relational database. It uses a column-oriented approach and supports heavy parallelized vectorized execution using SIMD instructions. QuestDB implements a SQL interface and augments it with extensions simplifying the semantics of time-series queries. It supports high-throughput, schema-agnostic ingestion using the Postgres wire protocol and the InfluxDB line protocol. QuestDB is written from scratch in Java and C++ with no external dependencies and zero garbage collection.",Relational,SQL,"Shared-Nothing,Embedded",https://www.questdb.io/,https://github.com/questdb/questdb,,QuestDB,GB,2014.0,,"Commercial,Open Source","C++,Java",,,Apache v2,,,,,Decomposition Storage Model (Columnar),,Timestamp Ordering,,Hash Table,,,,,,,,,,Log-structured,,,,,,
quickstep,Quickstep,,Relational,,,https://quickstep.io,https://github.com/apache/incubator-retired-quickstep,,University of Wisconsin,US,2013.0,,"Academic,Open Source",,,,Apache v2,,,,,Decomposition Storage Model (Columnar),,,,BitMap,,,,,,,,,,,,,,,,
quinedb,QuineDB,"QuineDB is a,quine,that is also a key/value store DBMS. When one executes the system, it prints out its own source code.",Key/Value,Command-line / Shell,,https://github.com/gfredericks/quinedb,,,Gary Fredericks,US,2016.0,,Open Source,Bash,,,Eclipse Public License,,,,,,,,,,,,,,,,,,,,,,,,,
quokka,Quokka,Quokka is a distributed query execution engine written in Python.,Relational,SQL,Shared-Disk,https://marsupialtail.github.io/quokka/,https://github.com/marsupialtail/quokka,,Ziheng Wang,US,2021.0,,"Hobby,Open Source",Python,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,,,
radondb,RadonDB,RadonDB is an open-source distribution layer for hosting MySQL in a cloud environment.,Relational,SQL,Shared-Nothing,http://radondb.io/,https://github.com/radondb/radon,,Yunify Technologies Inc.,CN,2018.0,,"Commercial,Open Source",Go,,,GPL v3,,,,,,,,,,,,,,,,,,,,,,,,,
ragedb,RageDB,"RageDB is an in-memory, distributed graph DBMS.",Graph,HTTP / REST,Shared-Nothing,https://ragedb.com/,https://github.com/ragedb/ragedb,,Max De Marzi,US,2021.0,,"Hobby,Open Source",C++,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,,,
raptordb,RaptorDB,RaptorDB is a document-oriented database for the .NET environment.,Document / XML,Custom API,Embedded,https://www.codeproject.com/Articles/375413/RaptorDB-the-Document-Store,http://raptordb.codeplex.com,,Mehdi Gholam,GB,2012.0,,Open Source,C#,,,Code Project Open License,,,,,,,,,BitMap,,,,,,,,,,,,,,,,
ravendb,RavenDB,"RavenDB is a full-transactional NoSQL ACID-compliant database and is developed by Hibernating Rhinos. RavenDB is designed to operate and be deployed in a distributed cluster, combining both on-premise and cloud deployments. RavenDB also provides auto-indexing capabilities alongside full-text search features to speed up queries. RavenDB provides a range of clients outside of the box, storage-layer encryption, HTTP network support, and the Raven Query Language (with similarities to SQL) for database queries.","Key/Value,Document / XML","Custom API,HTTP / REST",Shared-Nothing,http://ravendb.net/,https://github.com/ravendb/ravendb,,Hibernating Rhinos,IL,2009.0,,"Commercial,Open Source",C#,,,AGPL v3,,,,,Custom,,Optimistic Concurrency Control (OCC),,"B+Tree,Inverted Index (Full Text)",,,,,,,,,,Heaps,,,,,,
