Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Storage Architecture,Storage Model,Storage Organization,Stored Procedures,Views,Twitter,Inspired By,Compatible With,Wikipedia,Checkpoints,Compression,Former Name,Derived From,Storage Format
sylvadb,SylvaDB,"Sylva (from ""silva"", a book to organize knowledge during the Renaissance) is a flexible graph database management system from researchers in Canada.",Graph,,,http://sylvadb.com/,https://github.com/CulturePlex/Sylva,,The CulturePlex Lab,CA,2009.0,,"Academic,Open Source",JavaScript,,,AGPL v3,,,,,,,,,,,,,,,,,,,,,,,
system-g,System G,"IBM System G is a framework for graph processing workloads. It includes a graph database (called the ""native store"") that handles various graphs, property graphs, and RDF-like graphs.",Graph,,,http://systemg.research.ibm.com/,,,IBM,US,2009.0,,"Industrial Research,Open Source",,,,,,,,,,,,,,,,,,,,,,,,,,,
tabdb,TabDB,"TabDB is a relational DBMS that uses JavaScript to store data in web browser tabs as titles. To execute a query, it retrieves the tabs' titles, concatenates it, unzips it, and loads it into an in-memory SQLite database.",Relational,SQL,,https://tabdb.io,https://github.com/kkuchta/tabdb,,Kevin Kuchta,US,2019.0,,"Hobby,Open Source",JavaScript,,,,,,,,,,,,,,N-ary Storage Model (Row/Record),,,,,,,,,,,,
taffydb,TaffyDB,TaffyDB is an in-memory embedded DBMS engine written in JavaScript.,Document / XML,,,http://taffydb.com/,https://github.com/typicaljoe/taffydb,,Ian Smith,US,2009.0,,Open Source,JavaScript,,,MIT,,,,,,,,,,,N-ary Storage Model (Row/Record),,,,,,,,,,,,
tajo,Tajo,Apache Tajo is a distributed relational data warehouse system for Apache Hadoop.,Relational,,,http://tajo.apache.org/,https://git-wip-us.apache.org/repos/asf?p=tajo.git,,Korea University,KR,2012.0,,Open Source,,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
tarantool,Tarantool,"Tarantool is an integration of a Lua application server and a database management system. The DBMS was originally developed as an in-memory NoSQL DBMS, and later it was extended with a disk storage engine option. Tarantool's in-memory engine is lock-free. It uses cooperative multitasking to handle thousands of connections simultaneously. There is a fixed number of independent execution threads and they do not share state. The disk-based storage engine also exploits the advantage of single-threaded requests and hence avoid unnecessary synchronization overhead. Tarantool also supports secondary indexes, asynchronous replication, and some SQL operations.",Key/Value,"Custom API,Stored Procedures,Command-line / Shell",,https://tarantool.io,https://github.com/tarantool/tarantool,,Tarantool,RU,2008.0,,"Commercial,Open Source",C,,,BSD,,,,,,,,,,,Custom,,,,,,,,,,,,
tayzgrid,TayzGrid,TayzGrid is an elastic in-memory data grid with a peer to peer dynamic clustering architecture.,Object-Oriented,,,http://www.alachisoft.com/tayzgrid/,http://www.alachisoft.com/download-tayzgrid-oss-tar.html,,Alachisoft,US,,,"Commercial,Open Source",Java,,,Proprietary,,,,,,,,,,,,,,,,,,,,,,,
tdengine,TDengine,"TDengine™ is a popular open-source data platform purpose-built for time-series data. With over 19,000 stars on GitHub and hundreds of new instances daily, TDengine is used in over 50 countries worldwide. Compared with other time-series databases (TSDB), TDengine differentiates itself with its high performance, cloud native design, and built-in caching, stream processing, and data subscription features, making it a comprehensive but simplified solution for time-series data processing. In addition, TDengine’s kernel and clustering feature are made available under an open-source license. The TDengine Team is fully committed to maintaining this open development model and believes that no software can win the market unless its core functionalities are fully open. TDengine was founded and is developed by a group of engineers with passion, proven track records, and keen insights into time-series data. Our mission is to make developers successful by providing the best products and services and maintaining an active developer community. It has offices in both Silicon Valley and Beijing.",Relational,"Custom API,SQL,HTTP / REST,Command-line / Shell",,https://tdengine.com/,https://github.com/taosdata/TDengine,,TDengine,CN,2017.0,,"Commercial,Open Source",C,,,AGPL v3,,,,,,,,,,,Decomposition Storage Model (Columnar),,,,,,,,,,,,
tendis,Tendis,Tendis is a distributed DBMS that is compatible with the Redis protocol.,Key/Value,Custom API,,http://tendis.cn/,https://github.com/Tencent/Tendis,,Tencent,CN,2018.0,,Open Source,C++,,,GPL v3,,,,,,,,,,,N-ary Storage Model (Row/Record),,,,,,,,,,,,
tensorbase,TensorBase,TensorBase is a OLAP query engine designed to execute on Apache Arrow data sets.,Relational,SQL,,https://tensorbase.io,https://github.com/tensorbase/tensorbase,,,CN,2020.0,,Open Source,Rust,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
tera,Tera,"Tera is a 100 PBs level, real-time high performance distributed NoSQL database. The storage architecture of Tera is based on Google's BigTable and targeted for real-time applications, mainly for Baidu's own services such as its very own web crawling engine, Spider. Design choices are made based on the challenging contexts of Baidu's webpage indexing services, leading to requirements of scalability and very high real-time performance (over hundreds of billions QPS). Besides the web crawling engine, Tera is widely used in other services of Baidu with various requirements, ranging from throughput-oriented applications to latency-sensitive service, including web indexing, WebPage DB, LinkBase DB, etc. Tera is able to support hundreds of millions QPS in terms of random reads and writes, 100,000 billions level of records and hundreds of PB volumns of data. It replaced the former Hadoop based storage system in Baidu, which lacked scalability and timeliness due to its nature of heavy MapReduce programs usage. Tera supports a global ordering of all records, which facilitates the statistical analysis of intervals, as well as automatic loading balancing and MVCC.",Column Family,SQL,Shared-Disk,https://github.com/baidu/tera,https://github.com/baidu/tera,,,CN,2014.0,,"Commercial,Open Source",C++,,,BSD,,,,,,,,,,,,,,,,,,,,,,,
terarkdb,TerarkDB,"TerarkDB was forked from RocksDB v5.18.3, most of its features are the same as RocksDB but for some cases, TerarkDB has much better performance.",Key/Value,Custom API,Embedded,https://github.com/bytedance/terarkdb,https://github.com/bytedance/terarkdb,,,CN,2016.0,,Open Source,C++,,,Apache v2,,,,,,,,,,,,,,,,,RocksDB,,,,,,
terminusdb,TerminusDB,TerminusDB is an open-source model driven graph DBMS designed for knowledge graph representation.,"Document / XML,Graph,Triplestore (RDF)","Custom API,Datalog",,https://terminusdb.com/,https://github.com/terminusdb/terminusdb,,,IE,2019.0,,"Commercial,Open Source","Prolog,Rust",,,GPL v3,,,,,,,,,,,,,,,,,,,,,,,
terrastore,Terrastore,Terrastore was a distributed document DBMS that provided per-document consistency guarantees.,Document / XML,Custom API,,http://code.google.com/p/terrastore/,http://code.google.com/p/terrastore/,,,GB,2009.0,,Open Source,Java,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
thinksql,ThinkSQL,ThinkSQL is a relational DBMS that supports SQL written in Pascal.,Relational,SQL,Shared-Everything,http://www.thinksql.co.uk/,https://github.com/ggaughan/ThinkSQL,,,GB,2000.0,,"Commercial,Open Source",Pascal,,,,,,,,,,,,,,,,,,,,,,,,,,
thrudb,ThruDB,ThruDB was a collection of database services built on top of the Thrift framework. It supported multiple storage back-ends.,,,,http://thrudb.org/,https://code.google.com/archive/p/thrudb/,,,US,2006.0,,Open Source,C++,,,BSD,,,,,,,,,,,,,,,,,,,,,,,
tidb,TiDB,"TiDB is an open-source distributed SQL database that supports Hybrid Transactional and Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability. The goal of TiDB is to provide users with a one-stop database solution that covers OLTP (Online Transactional Processing) and Real-time Analytics. TiDB is suitable for various use cases that require high availability, strong consistency, and real-time analytics with large-scale data. TiDB Cloud (https://tidbcloud.com/) is the fully-managed TiDB service on public cloud.",Key/Value,SQL,Shared-Nothing,https://www.pingcap.com/,https://github.com/pingcap/tidb,,,CN,2015.0,,"Commercial,Open Source",Go,,,Apache v2,,,,,,,,,,,,,,,,,MySQL,,,,,,
tiedot,tiedot,"tiedot is a document-oriented DBMS uses JSON with set operations. It can be embedded into an application, or run a stand-alone server using HTTP for an API.",Document / XML,,"Shared-Everything,Embedded",http://tiedot.github.io/,https://github.com/HouzuoGuo/tiedot,,,FI,2013.0,,Open Source,Go,,,BSD,,,,,,,,,,,,,,,,,,,,,,,
